City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fier,AL,40.7239,19.5561,55.56,94,100,8.14,heavy intensity rain
1,Butaritari,KI,3.0707,172.7902,81.57,81,100,18.19,light rain
2,Marawi,PH,7.9986,124.2928,79.0,89,100,8.01,overcast clouds
3,Saldanha,ZA,-33.0117,17.9442,69.8,60,0,8.05,clear sky
4,Ribeira Grande,PT,38.5167,-28.7,63.23,86,100,5.93,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,93.0,16,100,4.0,overcast clouds
6,Costa Rica,BR,-23.4167,-54.65,71.71,86,92,3.31,overcast clouds
7,Turka,UA,49.1541,23.0297,30.0,76,100,3.76,overcast clouds
8,Bengkulu,ID,-3.8004,102.2655,85.28,67,100,8.46,overcast clouds
9,Busselton,AU,-33.65,115.3333,82.99,35,0,5.01,clear sky
10,Guerrero Negro,MX,27.9769,-114.0611,57.83,37,95,4.85,overcast clouds
11,Elizabeth City,US,36.2946,-76.2511,30.99,100,1,3.36,clear sky
12,Bethel,US,41.3712,-73.414,25.0,80,45,3.62,scattered clouds
13,Knysna,ZA,-34.0363,23.0471,66.2,77,75,13.8,broken clouds
14,Hermanus,ZA,-34.4187,19.2345,70.0,73,3,8.99,clear sky
15,Simao,CN,22.7886,100.9748,47.71,87,100,4.34,overcast clouds
16,Severomuysk,RU,56.1481,113.4267,-13.63,89,100,1.66,overcast clouds
17,Esperance,AU,-33.8667,121.9,68.0,42,4,14.97,clear sky
18,Rikitea,PF,-23.1203,-134.9692,78.35,79,1,19.62,light rain
19,Cape Town,ZA,-33.9258,18.4232,73.0,60,0,10.36,clear sky
20,Pevek,RU,69.7008,170.3133,-28.88,86,100,3.8,overcast clouds
21,Hilo,US,19.7297,-155.09,73.4,78,75,3.44,broken clouds
22,Hasaki,JP,35.7333,140.8333,45.0,38,75,9.22,broken clouds
23,Ushuaia,AR,-54.8,-68.3,41.0,65,75,21.85,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,37.4,75,0,12.66,clear sky
25,Ardatov,RU,55.2421,43.097,8.4,95,99,4.5,snow
26,Denpasar,ID,-8.65,115.2167,89.6,66,40,6.91,scattered clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,64.99,94,90,5.75,heavy intensity rain
28,San Patricio,US,28.017,-97.5169,41.0,87,90,14.97,overcast clouds
29,Chimbote,PE,-9.0853,-78.5783,69.12,87,71,5.41,broken clouds
30,Bluff,NZ,-46.6,168.3333,57.0,73,96,11.01,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,7.0,78,0,6.71,clear sky
32,Brezno,SK,48.8043,19.6363,21.99,86,40,8.05,scattered clouds
33,Cimitarra,CO,6.3142,-73.9497,72.68,82,47,2.15,scattered clouds
34,Jamestown,US,42.097,-79.2353,23.0,93,1,3.44,clear sky
35,Hithadhoo,MV,-0.6,73.0833,81.45,76,100,14.54,overcast clouds
